@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,,,,,,,,,,
,,,,,,,,,,,,
@attribute min_fiat numeric,,,,,,,,,,,,
@attribute min_biat numeric,,,,,,,,,,,,
@attribute max_fiat numeric,,,,,,,,,,,,
@attribute max_biat numeric,,,,,,,,,,,,
@attribute mean_fiat numeric,,,,,,,,,,,,
@attribute mean_biat numeric,,,,,,,,,,,,
@attribute flowPktsPerSecond numeric,,,,,,,,,,,,
@attribute flowBytesPerSecond numeric,,,,,,,,,,,,
@attribute min_flowiat numeric,,,,,,,,,,,,
@attribute max_flowiat numeric,,,,,,,,,,,,
@attribute mean_flowiat numeric,,,,,,,,,,,,
@attribute std_flowiat numeric,,,,,,,,,,,,
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING},,,,,
,,,,,,,,,,,,
@data,,,,,,,,,,,,
209,24,72531,72605,29985.568,23988.8656,75.166958,27233.3824,10,72312,13315.53286,16425.808326,VOIP
7,11,92801,107380,18375.977941,23211.481424,97.632186,39430.398888,7,92801,10249.524949,12777.645509,VOIP
0,0,278842,278801,10653.186743,5673.587945,270.128751,229723.289408,0,278795,3702.85428,13268.344621,VIDEO-STREAMING
223185,222846,12852138,12852143,6537661.5,6537494.5,0.45888,142.94102,46,12852092,2615064.6,5723484.840833,CHAT
95,212,2391091,2429516,167261.831461,154665.083333,12.561883,4600.940878,18,2391041,80033.887097,258554.685975,CHAT
16,0,9708576,9749235,33112.294931,17654.96683,86.97986,74136.343922,0,9708576,11506.119295,275121.8184,VIDEO-STREAMING
0,0,377153,376952,6122.392784,8267.479316,283.809262,219955.980877,0,376924,3524.321655,13893.211638,FILE-TRANSFER
45,78,5847958,5847958,465964.227273,445727.913043,4.584454,2047.69022,9,5847917,222870.413043,887486.79039,VIDEO-STREAMING
233102,231177,1592946,1594872,913024,913024.5,3.285696,1023.494371,48,1592946,365219.4,693541.138181,CHAT
0,4,163408,190440,5634.436934,7737.724585,306.076665,235513.2905,0,150838,3267.869128,12539.177967,FILE-TRANSFER
29,0,1460661,1498910,14126.207352,7123.657957,211.266197,180331.770621,0,1460608,4734.859488,43408.287978,P2P
40,42,7997798,8035678,501797.103448,428006.205882,4.466603,1798.529264,13,7997798,227381.96875,1008813.860387,EMAIL
85,7,8419383,8419515,528062.285714,547627.111111,3.855016,1528.14175,7,8419270,264034.5,1144301.22566,CHAT
68,44,3180343,3180326,429277.888889,551860.285714,4.658987,2759.155491,17,3180290,227264.764706,769351.724351,CHAT
65206,65197,3538316,3538637,846375.941176,846357.235294,2.502017,922.271295,43,3538316,411096.885714,846736.784161,CHAT
4,5,3330517,3368787,9597.111275,13223.709776,179.755023,140158.853991,4,3330464,5565.504274,77486.594408,EMAIL
436,794,13546473,13546462,3629298.25,3619352.75,0.688838,214.573162,44,13546159,1613021.444444,4481587.477296,P2P
222,351,1497389,1482083,257360.88,220529.034483,8.703732,3594.485689,40,1482083,116982.218182,253798.675158,EMAIL
243,125138,10316497,10316946,1673710.625,2231525.833333,1.19495,523.612019,29,10316497,892645.666667,2657821.21222,CHAT
89,54,4297734,4259381,258585.862069,263121.842105,7.801023,3868.907343,13,4259332,129293.387931,457863.696817,CHAT
418652,418159,418652,418159,418652,418159,9.554475,2976.218912,49,418159,139550.666667,241281.975203,P2P
321,124704,2328707,2328704,701948,935752.333333,3.205366,1267.900186,55,2328649,350974,808692.931646,CHAT
109,8,1431534,1429679,229543.875,188614,9.983567,4190.738408,8,1429679,102019.5,244226.326193,EMAIL
0,0,372588,371423,2375.284922,3292.772338,724.802045,576875.621142,0,371423,1379.813983,9837.41409,FILE-TRANSFER
15,48,112881,112860,22579.823795,29112.667961,78.768816,30919.8617,9,112626,12706.138136,16289.607431,VOIP
154128,189082,1979030,1979323,636957.25,646093.5,3.869352,1205.303179,38,1979030,287156.888889,640898.099968,CHAT
85,16,74559,74632,33634.828829,25899.660312,68.455091,25531.607649,9,74383,14622.410959,17581.938242,VOIP
0,0,163653,140455,6036.27368,8138.756979,287.7939,221806.564439,0,129906,3475.515201,13614.377788,FILE-TRANSFER
9,68,90708,89460,20713.206086,26325.702465,86.338706,32938.182956,9,87936,11591.255418,14193.753761,VOIP
0,1,172927,158721,2958.889482,4099.168863,581.416908,460901.249659,0,158721,1720.133893,10315.445061,FILE-TRANSFER
1,4,160398,137495,2728.557577,3765.951544,632.142394,501668.257245,1,137495,1582.088915,9339.131771,FILE-TRANSFER
184926,184929,5039527,5039529,1567442.875,1567439.375,1.435454,488.13406,44,5039483,737622.823529,1558480.477292,CHAT
89,57,4483708,4483396,336075.428571,320799.25,6.234409,2844.165773,12,4483396,162243.804598,583063.194758,CHAT
15,0,6648783,6688307,9388.755725,4362.692876,335.859655,294494.848989,0,6648630,2978.034907,94646.78558,P2P
31,0,1425947,1463701,10561.907925,5278.915126,284.253615,242868.203289,0,1425897,3518.869751,29181.819765,P2P
105,15,75202,75261,34468.990783,26565.778369,66.741867,24368.256527,0,74885,14998.097097,17229.878347,VOIP
87,49,2759930,2759192,344593.136364,344574.045455,6.067762,2744.738888,9,2759192,168467.755556,504632.266645,CHAT
0,0,360429,355183,3659.747309,5081.823709,470.150742,372728.944328,0,355183,2127.279824,13408.007169,FILE-TRANSFER
5,5,171990,174888,5813.89014,7912.935381,298.174353,231138.469205,5,135650,3354.493617,13061.006893,FILE-TRANSFER
0,0,147333,134011,2745.107202,3807.979664,627.011269,498537.908248,0,118271,1595.037479,8928.212565,FILE-TRANSFER
6,67,83638,95133,18691.693267,23350.03271,96.458145,39317.033641,6,68352,10374.365398,12908.129148,VOIP
1,2,5478643,5478750,9052.039114,12439.376268,191.0234,149152.342833,0,5478595,5237.195986,115993.218665,EMAIL
19,6,3309330,3346753,7218.728561,9867.511723,240.074832,188451.925376,6,3309274,4167.160999,72956.430936,EMAIL
65,15,74619,68361,33318.833333,26775.201786,67.492368,25226.072755,9,68053,14831.145401,17383.253487,VOIP
8,74,75876,92767,19618.123037,25782.987952,89.870422,35110.312441,8,75875,11135.398217,13068.518314,VOIP
0,0,1639988,1639949,15424.782929,7537.823378,197.629525,174698.625221,0,1639949,5061.722337,46006.72242,P2P
0,0,3553418,3553548,7133.437593,9767.413021,242.771861,189846.137214,0,3553374,4120.861373,77009.967703,EMAIL
1,5,243619,243327,5169.691644,6959.295518,336.635725,260867.773428,0,243327,2971.159555,12174.051975,FILE-TRANSFER
1740,2032,4046126,4006385,712805.526316,712821.052632,2.953424,1261.555273,42,4006385,347271.794872,767562.570247,BROWSING
17,5,160998,148673,5757.296851,7761.413667,301.694217,233491.846752,5,121350,3315.347413,12608.264342,FILE-TRANSFER
-1,-1,-1,-1,0,0,16260.162602,5065040.650407,123,123,123,0,EMAIL
64,93,2544273,2544271,331512.822222,363854.634146,5.898783,2620.19927,13,2544230,171475.068966,441114.442964,BROWSING
800,467,2894174,2894216,630679.947368,630662.631579,3.33801,1297.15075,32,2893762,307261.205128,583056.237287,BROWSING
0,0,2452475,2452700,19784.149351,10620.984831,144.524386,124333.311525,0,2452475,6924.489394,74773.406939,VIDEO-STREAMING
73,14,392595,392427,65595.666667,98263.25,30.489819,21030.352615,14,392427,35779.454545,118286.633711,EMAIL
1707,1550,14158601,14158424,4859526.333333,4872524,0.547284,170.479049,60,14158327,2088233.142857,5324623.274362,FILE-TRANSFER
320,238,333317,333031,107017.2,99252.8,22.426302,8961.176334,14,333031,48644.181818,99961.680259,VIDEO-STREAMING
224,21,2947038,2910970,149975.27551,142695.368932,13.811615,5645.752887,21,2910917,72761.257426,257200.282295,FILE-TRANSFER
0,0,4980510,4980782,47162.640449,26621.312896,58.924314,48636.541413,0,4980364,16993.825911,206847.153337,VIDEO-STREAMING
33,0,2443389,2481848,27302.731752,15089.700201,102.93835,86974.571894,0,2443334,9720.848347,97263.053581,P2P
162,241,73801,71204,35698.400955,27654.367159,64.248542,23434.97257,11,70961,15580.734927,17913.901189,VOIP
3034,3369,1732912,1733753,535919.4,535943.2,3.980521,1687.492257,20,1732912,259327.354839,458570.578267,BROWSING
7,67,101465,116775,23463.464678,28910.282398,77.339748,31255.561303,7,101277,12941.15671,16454.870168,VOIP
109,77,340654,341106,139211.166667,139302.833333,16.750078,5797.91988,19,340654,64293.615385,110555.064834,VOIP
1,5,148011,148173,5971.325239,8141.213043,290.267267,224280.263513,0,131227,3445.892258,12979.651701,FILE-TRANSFER
11,0,1333546,1332745,13060.345819,6681.527629,226.367053,198707.920339,0,1332681,4418.905983,40898.030914,P2P
73,149,75246,73365,35868.07177,30789.560575,60.48841,21465.849591,13,73165,16550.339956,19186.324622,VOIP
876,711,8469290,8468954,1600741.625,1600760.5,1.405568,518.108012,35,8468954,753306.470588,2110449.52156,FILE-TRANSFER
1,0,8341875,8342141,61252.06087,33226.049528,46.563675,39504.948633,0,8341875,21508.755725,328908.351903,VIDEO-STREAMING
7,67,101725,131500,21624.382395,26999.843243,83.41287,32854.995,7,101725,11998.156125,15338.149803,VOIP
6,4,151452,139401,5955.332936,8084.947454,291.20019,225155.119973,4,135382,3434.850596,12895.027004,FILE-TRANSFER
6,10,121206,121150,20394.491156,24817.978477,89.457981,36047.363498,0,120915,11186.774627,14580.72823,VOIP
0,0,106392,107178,2132.615078,2950.337269,807.943969,645703.697588,0,105557,1237.811772,7333.828828,FILE-TRANSFER
8,43,114831,117183,22421.071856,27330.870438,81.321809,31715.305299,5,114831,12306.928513,16196.68313,VOIP
28,4,1690676,1690999,11929.634908,6962.649533,227.581663,181386.075009,4,1690676,4395.323304,36751.49941,BROWSING
366,1323,11642268,11642461,2117876.833333,1809600.142857,1.180427,469.967525,44,11642146,907661.5,3093373.075129,VIDEO-STREAMING
0,0,1927808,1928078,6818.212066,9242.83829,254.989728,196608.073549,0,1927766,3922.757823,34308.046055,FILE-TRANSFER
0,0,170416,171635,2614.770397,3609.895066,659.572292,525334.963118,0,135093,1516.287303,9325.402269,FILE-TRANSFER
906,1113,12640840,12678806,1243092.5,1147541.923077,1.809883,616.432718,42,12640840,573772.769231,2467286.58708,VIDEO-STREAMING
0,5,197216,159160,7091.367822,9589.316901,245.080269,187482.800653,0,159005,4081.407629,14975.191659,FILE-TRANSFER
0,0,220993,220589,1867.783383,2584.95587,922.353888,736791.836978,0,220589,1084.260954,6873.826408,FILE-TRANSFER
0,0,514872,514545,10679.679245,6071.952425,258.474249,208145.664258,0,514254,3870.007432,18111.911883,VIDEO-STREAMING
11,64,105962,106375,20494.571819,26563.037234,86.572042,33493.234632,10,105962,11559.986111,14260.766327,VOIP
243,169,9263147,9263350,707102.571429,781534.842105,2.828432,1161.879288,35,9262863,362176.073171,1480345.954589,FILE-TRANSFER
13,270,107149,103591,20718.347165,25959.604853,86.917971,30510.878064,11,103349,11513.943889,13875.768886,VOIP
182,18,73807,71258,35677.945238,26684.932384,65.612519,24946.559804,14,71066,15256.498474,17257.743787,VOIP
0,0,166887,132373,1860.419223,2587.338456,924.096912,735566.658749,0,132373,1082.215746,6831.174537,FILE-TRANSFER
7,11,116121,120150,26342.947183,31173.970894,70.091526,31128.040078,1,115884,14280.647619,19326.224194,VOIP
0,0,128010,127939,4876.439207,2490.8635,606.667031,531480.985555,0,127932,1648.531817,6271.160166,VIDEO-STREAMING
372,367,529345,493188,177145,123941.75,16.923624,5782.238093,123,493188,66475.125,172868.145173,FILE-TRANSFER
0,0,136092,122823,1834.782875,2542.355424,938.469232,747255.775832,0,122823,1065.640736,6827.743871,FILE-TRANSFER
0,0,255814,240443,1279.907912,1785.447976,1341.466724,1070730.214899,0,240443,745.48976,5348.525999,FILE-TRANSFER
13,70,89027,100761,20665.084138,26541.297153,86.034154,32787.555977,7,88771,11632.315217,13791.133802,VOIP
190690,190692,10123185,10123181,2119287,2119289.5,1.100994,625.915103,43,10123138,978137.076923,2773295.490704,BROWSING
0,0,319751,319313,8259.429363,4160.288752,360.939855,320618.627166,0,319313,2771.059665,12302.76985,VIDEO-STREAMING
0,0,185882,224394,1384.70169,1935.01961,1239.070705,989719.860275,0,185842,807.099876,5531.33379,FILE-TRANSFER
167,13,73302,72397,33591.280269,26056.125217,68.279573,26034.94112,13,71619,14659.999022,16656.224105,VOIP
2055,2334,7974545,7974854,2121459,2121530.25,1.178395,427.639436,41,7974545,942902.333333,2639482.912761,VIDEO-STREAMING
-1,-1,-1,-1,0,0,40816.326531,12700000,49,49,49,0,FILE-TRANSFER
726,571,8454177,8493989,1565611,1341949.857143,1.596774,635.728924,62,8454177,670995.785714,2244034.944452,VIDEO-STREAMING
434,724,210031,209704,105232.5,105214,28.476101,8870.305596,52,209704,42140.6,93670.886755,FILE-TRANSFER
7,0,218463,218419,6379.383733,3212.626149,468.174397,412031.387379,0,218403,2136.329085,8217.235754,P2P
9,0,213432,213228,13364.538324,7116.776934,215.470976,184289.504963,0,213228,4642.433127,15426.202363,VIDEO-STREAMING
0,64,99736,100610,18902.081967,23755.011094,95.132682,37938.326669,0,99736,10519.011228,13051.377309,VOIP
0,7,2217522,2218193,81684.245902,74366.905473,25.822478,13881.990073,0,2217522,38826.537662,157089.382416,BROWSING
170,51,74368,74395,35253.672941,27191.689655,65.273942,24536.795282,10,74147,15335.729785,17891.047884,VOIP
8,0,553846,590400,17063.050114,10999.895007,149.647671,111244.954481,0,553802,6685.344489,31206.869534,BROWSING
533,175,1861514,1898793,515472,511536.4,4.267933,1628.604463,24,1861514,245462.857143,550466.85521,VIDEO-STREAMING
10,187,72894,73842,21070.703235,26145.303665,85.839202,30160.865067,10,66477,11658.754864,13694.362993,VOIP
22,0,4872147,4872796,22570.49696,11486.382831,131.496379,113096.514168,0,4871964,7608.668033,144121.91985,VIDEO-STREAMING
126,505,4715501,4716861,380176.487179,449299.818182,4.99092,2203.55858,16,4715501,203108.575342,736355.109991,BROWSING
914,1039,12138312,12138317,3203337.75,2562646.2,0.858469,288.601753,46,12138054,1281350.5,3817212.923731,VIDEO-STREAMING
0,0,116454,122497,783.664641,1070.549528,2210.276217,1774285.277057,0,116098,452.445826,2819.514016,FILE-TRANSFER
74,18,74214,74241,34545.414747,26631.529307,66.628646,25541.781263,11,73970,15023.598196,17192.379524,VOIP
0,0,252543,252134,1782.302111,2489.206533,962.930409,767264.295866,0,252134,1038.569222,7229.089233,FILE-TRANSFER
0,0,544481,511700,1245.468859,1700.702574,1391.006138,1110881.851087,0,511700,718.938549,5355.24217,FILE-TRANSFER
4152443,4152447,4152443,4152447,4152443,4152447,0.963278,300.061216,39,4152404,1384162,2397367.895824,BROWSING
4,0,4992687,4992780,17682.035419,10174.08356,154.974225,123046.12957,0,4992531,6455.467241,104638.890468,VIDEO-STREAMING
15,233,48566,48546,21061.921348,25503.603741,86.821474,29396.53741,15,48353,11526.740968,13249.308544,VOIP
547,160,4178541,4178542,696530.769231,696481.153846,3.092248,1366.994666,0,4178494,335366.666667,900879.332444,BROWSING
16,0,829910,829890,50901.492857,38625.135501,45.675636,26110.958118,0,829858,21927.192308,69798.019619,BROWSING
619,560,2257095,2278089,543975.884615,543976.076923,3.81803,1298.342268,37,2257050,266856.981132,531710.235052,BROWSING
15,226,52072,52045,20903.55788,25796.540448,86.735569,29870.529148,15,51803,11538.170901,13298.088786,VOIP
23,1,726575,726571,20490.091781,12465.008333,129.161566,95150.624983,1,726296,7746.250647,33715.755026,BROWSING
25,7,3934313,3934281,50936.646259,34745.656613,48.545806,32380.386506,6,3933932,20627.475207,161915.870948,VIDEO-STREAMING
0,0,2188062,2188345,18762.600639,9564.679967,158.018704,137617.178404,0,2188062,6331.77628,80831.296527,VIDEO-STREAMING
0,0,937449,936919,3374.701373,6499.508132,449.533887,389177.520709,0,936919,2224.861119,18741.472821,VIDEO-STREAMING
70,80,3781524,3820286,307960.727273,322617.02381,6.494335,2625.62995,18,3781489,155750.252874,500182.141372,BROWSING
0,0,691405,726050,9528.19591,13805.032258,173.782886,135764.624668,0,689841,5756.518063,42932.606698,FILE-TRANSFER
0,0,910706,870027,3015.568497,5772.199846,504.982954,438207.664067,0,870027,1980.52649,17881.984973,VIDEO-STREAMING
0,0,1683087,1720524,90634.359756,79484.101604,23.748162,12856.501628,0,1683087,42228.147727,164912.405362,BROWSING
37,10,10003268,10003346,164244.137931,136090.819048,13.576368,7885.910361,7,10003042,74039.046632,722265.604034,BROWSING
298,227,5893516,5893922,1134146.416667,1043760.230769,1.983865,751.223383,12,5893516,523453.846154,1522958.124238,VIDEO-STREAMING
11,437,99357,99301,22288.892857,26464.678445,82.781667,28030.13947,11,99113,12089.719128,14364.850534,VOIP
0,0,317172,356414,1490.763542,2039.976744,1161.070614,928437.090019,0,317131,861.323514,5556.531392,FILE-TRANSFER
74,13,77376,77450,35095.576112,28708.348659,63.459169,23636.438615,8,77167,15774.751579,18552.017756,VOIP
23,311,100258,109221,22077.316642,26769.75,82.781578,28082.633225,11,100258,12089.724194,14447.357999,VOIP
0,2,2140959,2141063,10541.595465,14809.944502,162.519708,127741.878178,0,2140905,6155.728321,58778.878154,EMAIL
91164,564,6129453,6129478,1120090.333333,1008114.6,2.083088,1035.592439,40,6129404,504059.3,1386265.605124,VIDEO-STREAMING
46,0,4973210,5014062,37300.918782,13777.913777,99.516809,95664.359391,0,4973210,10055.426813,138212.24716,EMAIL
74,13,75244,75312,33269.577778,26971.658273,67.21684,25673.498734,8,75018,14891.998014,17597.375184,VOIP
7,56,71705,72288,19578.844444,25215.085859,90.866477,34599.564255,7,71564,11013.250735,12785.935338,VOIP
0,0,377870,352744,3195.472162,6113.809249,476.64011,412845.363172,0,352744,2098.316282,15198.316229,VIDEO-STREAMING
0,0,3415865,3415962,11087.163462,15607.348643,154.22448,122908.839124,0,3415814,6486.860666,80158.179316,EMAIL
294,158,346221,344562,185392.333333,129333,16.181899,6452.981695,13,344562,69522.125,125780.385334,VIDEO-STREAMING
2028,1284,6477528,6478098,944152.2,858311.909091,2.436002,950.887981,41,6477365,429168.227273,1398274.125613,VIDEO-STREAMING
0,0,122966,120191,1743.695485,2364.054583,996.613981,796775.495001,0,120050,1003.464711,5490.157315,FILE-TRANSFER
578,854,2464166,2502972,437902.26087,437901.434783,4.765786,1484.542322,39,2464107,214293.425532,519283.229025,BROWSING
212,292,64935,71224,21569.603746,25764.695353,85.306637,28801.912044,0,64719,11731.604232,13543.543274,VOIP
0,0,1562812,1601080,9003.236779,9404.06403,217.536615,180802.497179,0,1562760,4598.338244,41868.653601,EMAIL
0,0,692656,652915,2943.294615,5536.262107,520.51236,445339.290924,0,652915,1921.430459,14260.027102,VIDEO-STREAMING
0,4,326593,289001,3117.513733,4230.072276,557.301396,441131.953219,0,289001,1794.576117,10550.058001,FILE-TRANSFER
25,0,1102657,1102614,15488.910973,8673.931014,179.982919,149912.872361,0,1102608,5558.146731,27077.564346,VIDEO-STREAMING
16,5,485441,510225,15080.274848,20459.057931,115.198169,89200.908028,5,472980,8685.764019,46619.76733,FILE-TRANSFER
0,0,457536,457338,3187.514538,6008.733252,480.282277,413080.259439,0,457338,2082.401857,16234.427445,VIDEO-STREAMING
0,0,254207,253420,2199.05828,2989.487727,789.362346,629728.847859,0,253420,1266.95247,7841.183001,FILE-TRANSFER
0,0,1465435,1426097,3790.400253,7280.702768,401.306568,344408.887633,0,1426097,2492.274813,29051.790141,VIDEO-STREAMING
264,74,6110861,6111083,704075.888889,704075.277778,2.998407,1179.636274,13,6110861,342524.27027,1081445.369119,BROWSING
0,0,589778,574446,3136.633077,4220.413237,555.777688,440246.705018,0,574446,1799.50135,12670.963297,FILE-TRANSFER
202,305,2941523,2941521,643053.869565,616260.125,3.312984,1220.192355,29,2941469,308131.0625,688170.244678,CHAT
81945,81372,4256146,4256151,1498828.3,1498836.8,1.467788,628.680144,37,4256103,713740.190476,1216900.336025,BROWSING
43,10,2674784,2674815,124995.05,101082,18.000713,10426.879571,7,2674757,55759.873606,220618.191201,BROWSING
0,0,586177,585133,1627.175723,2262.12406,1056.728016,838344.912386,0,585133,946.378083,9619.257509,FILE-TRANSFER
0,0,291751,291520,14494.803941,8101.470815,192.560137,160755.496409,0,291520,5195.016596,16258.130067,VIDEO-STREAMING
0,0,4175037,4175054,55825.786611,38562.130058,43.994256,29545.477881,0,4174987,22769.02901,203798.494947,BROWSING
8,69,4723710,4723704,279619.057692,238373.163934,7.908669,4323.772669,8,4723651,127552.675439,607930.421357,CHAT
0,0,815773,815281,3369.858363,6397.390098,453.194931,390920.95708,0,815281,2206.880889,19104.395626,VIDEO-STREAMING
25,68,1358973,1396942,86697.871345,87206.170588,23.136024,11215.64292,18,1358973,43349.020468,122154.547858,CHAT
24,4,1644997,1645220,50930.375465,33896.990074,49.196107,35023.540775,4,1644997,20357.014859,111939.123187,BROWSING
47,77,568964,564548,118794.277778,106905.15,18.705828,7736.262791,11,564548,54830.025641,116827.716924,VIDEO-STREAMING
14,65,93546,108706,20319.96477,25332.790541,88.816218,33804.83943,11,93300,11267.664162,13499.003944,VOIP
0,0,181814,181767,7512.831325,3910.535929,388.957899,338424.777306,0,181761,2571.414089,9434.240073,VIDEO-STREAMING
76,714,103779,122779,23930.972843,29152.922179,76.210463,25805.049764,11,103520,13133.057844,16740.79056,VOIP
196,19,74866,72718,35270.416471,27966.281716,64.241894,24898.703941,7,72386,15582.347193,18126.744995,VOIP
23204,23596,7059061,7059060,978505.666667,978483.6,2.180195,889.247107,37,7059014,473470.483871,1326848.609212,BROWSING
237,13,74452,75066,34522.633641,28005.325234,64.806664,24041.136681,8,74218,15446.419588,18301.685858,VOIP
0,0,470982,470499,2059.18575,2794.736165,843.569944,671966.763358,0,470499,1185.531853,7610.698013,FILE-TRANSFER
0,0,3800450,3800655,18199.664216,9305.26696,162.279443,142421.354736,0,3800313,6164.767954,95411.551763,VIDEO-STREAMING
0,0,736428,772789,2068.82331,2887.373244,829.80343,661748.668561,0,736370,1205.201511,14007.221302,FILE-TRANSFER
506,802,3925848,3962665,703516.35,705339.9,2.977276,1403.147718,29,3925848,344069.609756,835834.902893,BROWSING
0,0,817450,781319,2237.178806,3129.134994,765.868471,610754.954845,0,781319,1305.820977,14556.077527,FILE-TRANSFER
15,7,65997,91081,18501.634568,22950.124043,97.75415,39449.571403,0,54574,10236.73224,12661.872273,VOIP
56,30,75660,74215,34140.615034,27152.769928,66.250664,24676.47092,10,73461,15109.404234,17757.160803,VOIP
0,0,1110418,1109721,3103.146907,5992.03356,489.26181,422859.42124,0,1109721,2044.174049,20632.676083,VIDEO-STREAMING
187830,187932,11635341,11635231,5911585.5,5911581.5,0.507476,201.55264,43,11635188,2364642.8,5183029.589875,BROWSING
67,11,74339,71323,35171.64554,26611.865009,66.140559,24891.475423,11,71108,15134.587879,17584.770302,VOIP
1173,524,3491882,3492032,1159814.571429,897676.444444,2.217103,884.131478,42,3491729,477570.705882,947517.991827,VIDEO-STREAMING
11,65,118327,123140,26217.075175,32253.232759,69.217687,27002.70009,7,96828,14461.106075,18272.862004,VOIP
68716,1115,6449529,6449803,1467370.142857,930180.363636,1.947118,712.255774,169,6449355,540610.052632,1549809.052779,VIDEO-STREAMING
350,114,13410246,13410467,1621126.666667,1122289.461538,1.644947,657.293213,13,13410057,634353.913043,2787113.614343,VIDEO-STREAMING
26,63,125125,125074,22205.065185,27963.526119,80.927648,31763.80175,11,124907,12366.911716,16066.968166,VOIP
217856,1850,333539,332275,275697.5,170454.333333,12.695073,4446.902855,297,332275,91899.166667,136182.16952,VIDEO-STREAMING
78,120,7832203,7832165,980953.777778,976829,2.265369,877.037586,18,7832147,464662.315789,1787099.31333,BROWSING
14,63,49402,49422,19057.066074,24210.279483,93.879553,36693.103407,7,49164,10659.517413,12629.888122,VOIP
7,53,81059,86653,19393.97542,24570.645902,92.38542,36107.22392,7,81059,10832.03974,12922.855842,VOIP
0,0,576420,538351,2204.316301,4295.006899,685.356158,592441.79396,0,538351,1459.244064,13150.933329,VIDEO-STREAMING
0,0,205553,205512,4420.378985,2217.063212,677.404988,595410.873335,0,205501,1476.367311,6952.647015,VIDEO-STREAMING
0,0,132672,131846,1431.044968,1992.358586,1200.760001,960426.352519,0,131846,832.852158,5513.523744,FILE-TRANSFER
0,0,132561,129026,2056.503901,2848.698379,837.422957,668942.29118,0,129026,1194.236308,7256.16767,FILE-TRANSFER
0,0,170628,170486,4456.185714,2236.420463,671.682816,586380.634109,0,170486,1488.946002,6738.891078,VIDEO-STREAMING
0,0,764329,727182,1982.165117,4082.14145,749.577512,661669.930026,0,727182,1334.204131,14274.42674,VIDEO-STREAMING
0,0,826671,827136,6973.423256,3571.676751,423.505587,369391.177038,0,826671,2361.615845,16977.940741,VIDEO-STREAMING
0,0,396936,396451,1989.577364,2803.781396,858.109593,677706.51971,0,396451,1165.442975,7691.744626,FILE-TRANSFER
8,12,113197,117903,19289.410553,24370.486179,93.007088,36701.771171,8,113197,10759.587222,13631.321121,VOIP
