@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,,,,,,,,,
,,,,,,,,,,,
@attribute total_fiat numeric,,,,,,,,,,,
@attribute min_fiat numeric,,,,,,,,,,,
@attribute min_biat numeric,,,,,,,,,,,
@attribute max_fiat numeric,,,,,,,,,,,
@attribute mean_fiat numeric,,,,,,,,,,,
@attribute mean_biat numeric,,,,,,,,,,,
@attribute flowBytesPerSecond numeric,,,,,,,,,,,
@attribute min_flowiat numeric,,,,,,,,,,,
@attribute max_flowiat numeric,,,,,,,,,,,
@attribute mean_flowiat numeric,,,,,,,,,,,
@attribute min_active numeric,,,,,,,,,,,
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING},,,,
,,,,,,,,,,,
@data,,,,,,,,,,,
13389685,243,125138,10316497,1673710.625,2231525.833333,523.612019,29,10316497,892645.666667,2488571,CHAT
14997980,89,54,4297734,258585.862069,263121.842105,3868.907343,13,4259332,129293.387931,2326714,CHAT
418652,418652,418159,418652,418652,418159,2976.218912,49,418159,139550.666667,-1,P2P
2807792,321,124704,2328707,701948,935752.333333,1267.900186,55,2328649,350974,2807734,CHAT
5509053,109,8,1431534,229543.875,188614,4190.738408,8,1429679,102019.5,5173385,EMAIL
14997549,0,0,372588,2375.284922,3292.772338,576875.621142,0,371423,1379.813983,-1,FILE-TRANSFER
14993003,15,48,112881,22579.823795,29112.667961,30919.8617,9,112626,12706.138136,-1,VOIP
2547829,154128,189082,1979030,636957.25,646093.5,1205.303179,38,1979030,287156.888889,2169741,CHAT
14933864,85,16,74559,33634.828829,25899.660312,25531.607649,9,74383,14622.410959,-1,VOIP
14975995,0,0,163653,6036.27368,8138.756979,221806.564439,0,129906,3475.515201,-1,FILE-TRANSFER
14975648,9,68,90708,20713.206086,26325.702465,32938.182956,9,87936,11591.255418,-1,VOIP
14966063,0,1,172927,2958.889482,4099.168863,460901.249659,0,158721,1720.133893,-1,FILE-TRANSFER
14998881,1,4,160398,2728.557577,3765.951544,501668.257245,1,137495,1582.088915,-1,FILE-TRANSFER
12539543,184926,184929,5039527,1567442.875,1567439.375,488.13406,44,5039483,737622.823529,2458743,CHAT
14115168,89,57,4483708,336075.428571,320799.25,2844.165773,12,4483396,162243.804598,1345257,CHAT
14759124,15,0,6648783,9388.755725,4362.692876,294494.848989,0,6648630,2978.034907,8709817,P2P
13994528,31,0,1425947,10561.907925,5278.915126,242868.203289,0,1425897,3518.869751,5679884,P2P
14959542,105,15,75202,34468.990783,26565.778369,24368.256527,0,74885,14998.097097,-1,VOIP
7581049,87,49,2759930,344593.136364,344574.045455,2744.738888,9,2759192,168467.755556,2157136,CHAT
14961047,0,0,360429,3659.747309,5081.823709,372728.944328,0,355183,2127.279824,-1,FILE-TRANSFER
14976581,5,5,171990,5813.89014,7912.935381,231138.469205,5,135650,3354.493617,-1,FILE-TRANSFER
14980050,0,0,147333,2745.107202,3807.979664,498537.908248,0,118271,1595.037479,-1,FILE-TRANSFER
14990738,6,67,83638,18691.693267,23350.03271,39317.033641,6,68352,10374.365398,-1,VOIP
12265513,1,2,5478643,9052.039114,12439.376268,149152.342833,0,5478595,5237.195986,11904372,EMAIL
9680315,19,6,3309330,7218.728561,9867.511723,188451.925376,6,3309274,4167.160999,9251785,EMAIL
14993475,65,15,74619,33318.833333,26775.201786,25226.072755,9,68053,14831.145401,-1,VOIP
14988246,8,74,75876,19618.123037,25782.987952,35110.312441,8,75875,11135.398217,-1,VOIP
14638119,0,0,1639988,15424.782929,7537.823378,174698.625221,0,1639949,5061.722337,6126009,P2P
9601607,0,0,3553418,7133.437593,9767.413021,189846.137214,0,3553374,4120.861373,9228407,EMAIL
14971427,1,5,243619,5169.691644,6959.295518,260867.773428,0,243327,2971.159555,-1,FILE-TRANSFER
13543305,1740,2032,4046126,712805.526316,712821.052632,1261.555273,42,4006385,347271.794872,1291807,BROWSING
14992001,17,5,160998,5757.296851,7761.413667,233491.846752,5,121350,3315.347413,-1,FILE-TRANSFER
0,-1,-1,-1,0,0,5065040.650407,123,123,123,-1,EMAIL
14918077,64,93,2544273,331512.822222,363854.634146,2620.19927,13,2544230,171475.068966,1276866,BROWSING
11982919,800,467,2894174,630679.947368,630662.631579,1297.15075,32,2893762,307261.205128,1448388,BROWSING
9140277,0,0,2452475,19784.149351,10620.984831,124333.311525,0,2452475,6924.489394,3950487,VIDEO-STREAMING
393574,73,14,392595,65595.666667,98263.25,21030.352615,14,392427,35779.454545,-1,EMAIL
14578579,1707,1550,14158601,4859526.333333,4872524,170.479049,60,14158327,2088233.142857,14160034,FILE-TRANSFER
535086,320,238,333317,107017.2,99252.8,8961.176334,14,333031,48644.181818,-1,VIDEO-STREAMING
14697577,224,21,2947038,149975.27551,142695.368932,5645.752887,21,2910917,72761.257426,1302362,FILE-TRANSFER
12592425,0,0,4980510,47162.640449,26621.312896,48636.541413,0,4980364,16993.825911,3179769,VIDEO-STREAMING
14961897,33,0,2443389,27302.731752,15089.700201,86974.571894,0,2443334,9720.848347,2418510,P2P
14957630,162,241,73801,35698.400955,27654.367159,23434.97257,11,70961,15580.734927,-1,VOIP
8038791,3034,3369,1732912,535919.4,535943.2,1687.492257,20,1732912,259327.354839,1198196,BROWSING
14946227,7,67,101465,23463.464678,28910.282398,31255.561303,7,101277,12941.15671,-1,VOIP
835267,109,77,340654,139211.166667,139302.833333,5797.91988,19,340654,64293.615385,-1,VOIP
14999969,1,5,148011,5971.325239,8141.213043,224280.263513,0,131227,3445.892258,-1,FILE-TRANSFER
14993277,11,0,1333546,13060.345819,6681.527629,198707.920339,0,1332681,4418.905983,6055384,P2P
14992854,73,149,75246,35868.07177,30789.560575,21465.849591,13,73165,16550.339956,-1,VOIP
12805933,876,711,8469290,1600741.625,1600760.5,518.108012,35,8468954,753306.470588,3870336,FILE-TRANSFER
14087974,1,0,8341875,61252.06087,33226.049528,39504.948633,0,8341875,21508.755725,14087974,VIDEO-STREAMING
14985697,7,67,101725,21624.382395,26999.843243,32854.995,7,101725,11998.156125,-1,VOIP
14989573,6,4,151452,5955.332936,8084.947454,225155.119973,4,135382,3434.850596,-1,FILE-TRANSFER
14989951,6,10,121206,20394.491156,24817.978477,36047.363498,0,120915,11186.774627,-1,VOIP
14992284,0,0,106392,2132.615078,2950.337269,645703.697588,0,105557,1237.811772,-1,FILE-TRANSFER
14977276,8,43,114831,22421.071856,27330.870438,31715.305299,5,114831,12306.928513,-1,VOIP
14900114,28,4,1690676,11929.634908,6962.649533,181386.075009,4,1690676,4395.323304,12695168,BROWSING
12707261,366,1323,11642268,2117876.833333,1809600.142857,469.967525,44,11642146,907661.5,12055815,VIDEO-STREAMING
14918248,0,0,1927808,6818.212066,9242.83829,196608.073549,0,1927766,3922.757823,2176242,FILE-TRANSFER
14998323,0,0,170416,2614.770397,3609.895066,525334.963118,0,135093,1516.287303,-1,FILE-TRANSFER
14917110,906,1113,12640840,1243092.5,1147541.923077,616.432718,42,12640840,573772.769231,14575659,VIDEO-STREAMING
14941512,0,5,197216,7091.367822,9589.316901,187482.800653,0,159005,4081.407629,-1,FILE-TRANSFER
14994565,0,0,220993,1867.783383,2584.95587,736791.836978,0,220589,1084.260954,-1,FILE-TRANSFER
13018529,0,0,514872,10679.679245,6071.952425,208145.664258,0,514254,3870.007432,-1,VIDEO-STREAMING
14981532,11,64,105962,20494.571819,26563.037234,33493.234632,10,105962,11559.986111,-1,VOIP
14849154,243,169,9263147,707102.571429,781534.842105,1161.879288,35,9262863,362176.073171,1663307,FILE-TRANSFER
14979365,13,270,107149,20718.347165,25959.604853,30510.878064,11,103349,11513.943889,-1,VOIP
14984737,182,18,73807,35677.945238,26684.932384,24946.559804,14,71066,15256.498474,-1,VOIP
14981956,0,0,166887,1860.419223,2587.338456,735566.658749,0,132373,1082.215746,-1,FILE-TRANSFER
14962794,7,11,116121,26342.947183,31173.970894,31128.040078,1,115884,14280.647619,-1,VOIP
14999927,0,0,128010,4876.439207,2490.8635,531480.985555,0,127932,1648.531817,-1,VIDEO-STREAMING
531435,372,367,529345,177145,123941.75,5782.238093,123,493188,66475.125,-1,FILE-TRANSFER
14999350,0,0,136092,1834.782875,2542.355424,747255.775832,0,122823,1065.640736,-1,FILE-TRANSFER
14996681,0,0,255814,1279.907912,1785.447976,1070730.214899,0,240443,745.48976,-1,FILE-TRANSFER
14982186,13,70,89027,20665.084138,26541.297153,32787.555977,7,88771,11632.315217,-1,VOIP
12715722,190690,190692,10123185,2119287,2119289.5,625.915103,43,10123138,978137.076923,1343284,BROWSING
14908270,0,0,319751,8259.429363,4160.288752,320618.627166,0,319313,2771.059665,-1,VIDEO-STREAMING
14997704,0,0,185882,1384.70169,1935.01961,989719.860275,0,185842,807.099876,-1,FILE-TRANSFER
14981711,167,13,73302,33591.280269,26056.125217,26034.94112,13,71619,14659.999022,-1,VOIP
8485836,2055,2334,7974545,2121459,2121530.25,427.639436,41,7974545,942902.333333,7974592,VIDEO-STREAMING
0,-1,-1,-1,0,0,12700000,49,49,49,-1,FILE-TRANSFER
9393666,726,571,8454177,1565611,1341949.857143,635.728924,62,8454177,670995.785714,9013942,VIDEO-STREAMING
210465,434,724,210031,105232.5,105214,8870.305596,52,209704,42140.6,-1,FILE-TRANSFER
12235658,7,0,218463,6379.383733,3212.626149,412031.387379,0,218403,2136.329085,-1,P2P
14995012,9,0,213432,13364.538324,7116.776934,184289.504963,0,213228,4642.433127,-1,VIDEO-STREAMING
14989351,0,64,99736,18902.081967,23755.011094,37938.326669,0,99736,10519.011228,-1,VOIP
14948217,0,7,2217522,81684.245902,74366.905473,13881.990073,0,2217522,38826.537662,3786252,BROWSING
14982811,170,51,74368,35253.672941,27191.689655,24536.795282,10,74147,15335.729785,-1,VOIP
14981358,8,0,553846,17063.050114,10999.895007,111244.954481,0,553802,6685.344489,-1,BROWSING
5154720,533,175,1861514,515472,511536.4,1628.604463,24,1861514,245462.857143,2183871,VIDEO-STREAMING
14981270,10,187,72894,21070.703235,26145.303665,30160.865067,10,66477,11658.754864,-1,VOIP
14851387,22,0,4872147,22570.49696,11486.382831,113096.514168,0,4871964,7608.668033,5793464,VIDEO-STREAMING
14826883,126,505,4715501,380176.487179,449299.818182,2203.55858,16,4715501,203108.575342,5149942,BROWSING
12813351,914,1039,12138312,3203337.75,2562646.2,288.601753,46,12138054,1281350.5,12479818,VIDEO-STREAMING
14957807,0,0,116454,783.664641,1070.549528,1774285.277057,0,116098,452.445826,-1,FILE-TRANSFER
14992710,74,18,74214,34545.414747,26631.529307,25541.781263,11,73970,15023.598196,-1,VOIP
14860835,0,0,252543,1782.302111,2489.206533,767264.295866,0,252134,1038.569222,-1,FILE-TRANSFER
14997936,0,0,544481,1245.468859,1700.702574,1110881.851087,0,511700,718.938549,-1,FILE-TRANSFER
4152443,4152443,4152447,4152443,4152443,4152447,300.061216,39,4152404,1384162,4152447,BROWSING
14976684,4,0,4992687,17682.035419,10174.08356,123046.12957,0,4992531,6455.467241,7615721,VIDEO-STREAMING
14996088,15,233,48566,21061.921348,25503.603741,29396.53741,15,48353,11526.740968,-1,VOIP
9054900,547,160,4178541,696530.769231,696481.153846,1366.994666,0,4178494,335366.666667,1367384,BROWSING
14252418,16,0,829910,50901.492857,38625.135501,26110.958118,0,829858,21927.192308,-1,BROWSING
14143373,619,560,2257095,543975.884615,543976.076923,1298.342268,37,2257050,266856.981132,1515072,BROWSING
14987851,15,226,52072,20903.55788,25796.540448,29870.529148,15,51803,11538.170901,-1,VOIP
14957767,23,1,726575,20490.091781,12465.008333,95150.624983,1,726296,7746.250647,-1,BROWSING
14975374,25,7,3934313,50936.646259,34745.656613,32380.386506,6,3933932,20627.475207,2413422,VIDEO-STREAMING
11745388,0,0,2188062,18762.600639,9564.679967,137617.178404,0,2188062,6331.77628,2673931,VIDEO-STREAMING
14747445,0,0,937449,3374.701373,6499.508132,389177.520709,0,936919,2224.861119,-1,VIDEO-STREAMING
13550272,70,80,3781524,307960.727273,322617.02381,2625.62995,18,3781489,155750.252874,1733938,BROWSING
14444745,0,0,691405,9528.19591,13805.032258,135764.624668,0,689841,5756.518063,-1,FILE-TRANSFER
14990391,0,0,910706,3015.568497,5772.199846,438207.664067,0,870027,1980.52649,-1,VIDEO-STREAMING
14864035,0,0,1683087,90634.359756,79484.101604,12856.501628,0,1683087,42228.147727,1287050,BROWSING
14289240,37,10,10003268,164244.137931,136090.819048,7885.910361,7,10003042,74039.046632,12654959,BROWSING
13609757,298,227,5893516,1134146.416667,1043760.230769,751.223383,12,5893516,523453.846154,1547575,VIDEO-STREAMING
14978136,11,437,99357,22288.892857,26464.678445,28030.13947,11,99113,12089.719128,-1,VOIP
14998572,0,0,317172,1490.763542,2039.976744,928437.090019,0,317131,861.323514,-1,FILE-TRANSFER
14985811,74,13,77376,35095.576112,28708.348659,23636.438615,8,77167,15774.751579,-1,VOIP
14990498,23,311,100258,22077.316642,26769.75,28082.633225,11,100258,12089.724194,-1,VOIP
14410361,0,2,2140959,10541.595465,14809.944502,127741.878178,0,2140905,6155.728321,12508994,EMAIL
10080813,91164,564,6129453,1120090.333333,1008114.6,1035.592439,40,6129404,504059.3,2409537,VIDEO-STREAMING
14696562,46,0,4973210,37300.918782,13777.913777,95664.359391,0,4973210,10055.426813,11414041,EMAIL
14971310,74,13,75244,33269.577778,26971.658273,25673.498734,8,75018,14891.998014,-1,VOIP
14977816,7,56,71705,19578.844444,25215.085859,34599.564255,7,71564,11013.250735,-1,VOIP
14807818,0,0,377870,3195.472162,6113.809249,412845.363172,0,352744,2098.316282,-1,VIDEO-STREAMING
14989845,0,0,3415865,11087.163462,15607.348643,122908.839124,0,3415814,6486.860666,10399169,EMAIL
556177,294,158,346221,185392.333333,129333,6452.981695,13,344562,69522.125,-1,VIDEO-STREAMING
9441522,2028,1284,6477528,944152.2,858311.909091,950.887981,41,6477365,429168.227273,1996489,VIDEO-STREAMING
14985319,0,0,122966,1743.695485,2364.054583,796775.495001,0,120050,1003.464711,-1,FILE-TRANSFER
10071752,578,854,2464166,437902.26087,437901.434783,1484.542322,39,2464107,214293.425532,1176494,BROWSING
14969305,212,292,64935,21569.603746,25764.695353,28801.912044,0,64719,11731.604232,-1,VOIP
14981386,0,0,1562812,9003.236779,9404.06403,180802.497179,0,1562760,4598.338244,9768711,EMAIL
14975483,0,0,692656,2943.294615,5536.262107,445339.290924,0,652915,1921.430459,-1,VIDEO-STREAMING
14982771,0,4,326593,3117.513733,4230.072276,441131.953219,0,289001,1794.576117,-1,FILE-TRANSFER
14962288,25,0,1102657,15488.910973,8673.931014,149912.872361,0,1102608,5558.146731,1887468,VIDEO-STREAMING
14869151,16,5,485441,15080.274848,20459.057931,89200.908028,5,472980,8685.764019,-1,FILE-TRANSFER
14799630,0,0,457536,3187.514538,6008.733252,413080.259439,0,457338,2082.401857,-1,VIDEO-STREAMING
14979985,0,0,254207,2199.05828,2989.487727,629728.847859,0,253420,1266.95247,-1,FILE-TRANSFER
14991033,0,0,1465435,3790.400253,7280.702768,344408.887633,0,1426097,2492.274813,2748679,VIDEO-STREAMING
12673366,264,74,6110861,704075.888889,704075.277778,1179.636274,13,6110861,342524.27027,2780028,BROWSING
14660623,0,0,589778,3136.633077,4220.413237,440246.705018,0,574446,1799.50135,-1,FILE-TRANSFER
14790239,202,305,2941523,643053.869565,616260.125,1220.192355,29,2941469,308131.0625,1469471,CHAT
14988283,81945,81372,4256146,1498828.3,1498836.8,628.680144,37,4256103,713740.190476,1483073,BROWSING
14999406,43,10,2674784,124995.05,101082,10426.879571,7,2674757,55759.873606,2003479,BROWSING
14732449,0,0,586177,1627.175723,2262.12406,838344.912386,0,585133,946.378083,-1,FILE-TRANSFER
14712226,0,0,291751,14494.803941,8101.470815,160755.496409,0,291520,5195.016596,-1,VIDEO-STREAMING
13342363,0,0,4175037,55825.786611,38562.130058,29545.477881,0,4174987,22769.02901,1643652,BROWSING
14540191,8,69,4723710,279619.057692,238373.163934,4323.772669,8,4723651,127552.675439,3983908,CHAT
14989130,0,0,815773,3369.858363,6397.390098,390920.95708,0,815281,2206.880889,-1,VIDEO-STREAMING
14825336,25,68,1358973,86697.871345,87206.170588,11215.64292,18,1358973,43349.020468,4034790,CHAT
13700271,24,4,1644997,50930.375465,33896.990074,35023.540775,4,1644997,20357.014859,2108772,BROWSING
2138297,47,77,568964,118794.277778,106905.15,7736.262791,11,564548,54830.025641,-1,VIDEO-STREAMING
14996134,14,65,93546,20319.96477,25332.790541,33804.83943,11,93300,11267.664162,-1,VOIP
14965560,0,0,181814,7512.831325,3910.535929,338424.777306,0,181761,2571.414089,-1,VIDEO-STREAMING
14980789,76,714,103779,23930.972843,29152.922179,25805.049764,11,103520,13133.057844,-1,VOIP
14989927,196,19,74866,35270.416471,27966.281716,24898.703941,7,72386,15582.347193,-1,VOIP
14677585,23204,23596,7059061,978505.666667,978483.6,889.247107,37,7059014,473470.483871,1969113,BROWSING
14982823,237,13,74452,34522.633641,28005.325234,24041.136681,8,74218,15446.419588,-1,VOIP
14999109,0,0,470982,2059.18575,2794.736165,671966.763358,0,470499,1185.531853,-1,FILE-TRANSFER
14850926,0,0,3800450,18199.664216,9305.26696,142421.354736,0,3800313,6164.767954,2826807,VIDEO-STREAMING
14998969,0,0,736428,2068.82331,2887.373244,661748.668561,0,736370,1205.201511,-1,FILE-TRANSFER
14070327,506,802,3925848,703516.35,705339.9,1403.147718,29,3925848,344069.609756,1686004,BROWSING
14989098,0,0,817450,2237.178806,3129.134994,610754.954845,0,781319,1305.820977,-1,FILE-TRANSFER
14986324,15,7,65997,18501.634568,22950.124043,39449.571403,0,54574,10236.73224,-1,VOIP
14987730,56,30,75660,34140.615034,27152.769928,24676.47092,10,73461,15109.404234,-1,VOIP
14997509,0,0,1110418,3103.146907,5992.03356,422859.42124,0,1109721,2044.174049,1600558,VIDEO-STREAMING
11823171,187830,187932,11635341,5911585.5,5911581.5,201.55264,43,11635188,2364642.8,11635231,BROWSING
14983121,67,11,74339,35171.64554,26611.865009,24891.475423,11,71108,15134.587879,-1,VOIP
8118702,1173,524,3491882,1159814.571429,897676.444444,884.131478,42,3491729,477570.705882,2033893,VIDEO-STREAMING
14996167,11,65,118327,26217.075175,32253.232759,27002.70009,7,96828,14461.106075,-1,VOIP
10271591,68716,1115,6449529,1467370.142857,930180.363636,712.255774,169,6449355,540610.052632,2961312,VIDEO-STREAMING
14590140,350,114,13410246,1621126.666667,1122289.461538,657.293213,13,13410057,634353.913043,13978120,VIDEO-STREAMING
14988419,26,63,125125,22205.065185,27963.526119,31763.80175,11,124907,12366.911716,-1,VOIP
551395,217856,1850,333539,275697.5,170454.333333,4446.902855,297,332275,91899.166667,-1,VIDEO-STREAMING
8828584,78,120,7832203,980953.777778,976829,877.037586,18,7832147,464662.315789,8452417,BROWSING
14997911,14,63,49402,19057.066074,24210.279483,36693.103407,7,49164,10659.517413,-1,VOIP
14991543,7,53,81059,19393.97542,24570.645902,36107.22392,7,81059,10832.03974,-1,VOIP
14279561,0,0,576420,2204.316301,4295.006899,592441.79396,0,538351,1459.244064,-1,VIDEO-STREAMING
14976244,0,0,205553,4420.378985,2217.063212,595410.873335,0,205501,1476.367311,-1,VIDEO-STREAMING
14988765,0,0,132672,1431.044968,1992.358586,960426.352519,0,131846,832.852158,-1,FILE-TRANSFER
14761585,0,0,132561,2056.503901,2848.698379,668942.29118,0,129026,1194.236308,-1,FILE-TRANSFER
14972784,0,0,170628,4456.185714,2236.420463,586380.634109,0,170486,1488.946002,-1,VIDEO-STREAMING
14921739,0,0,764329,1982.165117,4082.14145,661669.930026,0,727182,1334.204131,-1,VIDEO-STREAMING
14992860,0,0,826671,6973.423256,3571.676751,369391.177038,0,826671,2361.615845,-1,VIDEO-STREAMING
14941726,0,0,396936,1989.577364,2803.781396,677706.51971,0,396451,1165.442975,-1,FILE-TRANSFER
14987872,8,12,113197,19289.410553,24370.486179,36701.771171,8,113197,10759.587222,-1,VOIP
14952286,182,173,74022,34215.757437,26796.109123,24486.039645,14,65049,15024.097292,-1,VOIP
14999521,0,0,1401847,2372.966461,4742.249131,555460.976227,0,1362983,1581.41845,10760769,VIDEO-STREAMING
13344170,27,5,10453885,124711.869159,78738.840237,15339.507815,4,10453619,48173.898917,13003972,VIDEO-STREAMING
1667919,122,865,904255,185324.333333,181174,4659.698702,17,904255,87785.210526,-1,VIDEO-STREAMING
12934185,14098,14325,12568310,4311395,4298655.333333,272.147027,59,12567958,1847740.714286,12568251,BROWSING
12356431,1036,1172,11689980,3089107.75,2471256.8,299.274135,64,11689417,1235656.4,12023723,VIDEO-STREAMING
14989246,166,15,74710,35435.56974,27155.072464,24410.791482,15,74487,15358.196721,-1,VOIP
14916672,0,0,5358298,14139.025592,27471.464088,89876.875382,0,5357757,9329.057536,3582028,VIDEO-STREAMING
14994526,0,0,151209,1772.4026,2454.553118,767862.398228,0,133285,1029.160261,-1,FILE-TRANSFER
14995292,63,411,45918,20797.90846,25575.491468,30032.166795,17,45726,11464.51682,-1,VOIP
9345332,79,123,8383009,1038370.222222,1034165.111111,828.541993,20,8382970,491859.578947,9000083,BROWSING
14990490,14,246,99362,20791.248266,25275.907251,30129.635522,14,99110,11399.612167,-1,VOIP
14980590,405,13,76132,35165.704225,26955.75,24396.185323,13,74192,15246.992879,-1,VOIP
14973686,169,303,99168,21452.272206,25816.710345,29091.508677,75,98379,11707.55043,-1,VOIP
14935604,23,3,709468,35731.110048,21490.103597,57281.752047,3,709346,13407.411131,-1,EMAIL
14995893,0,0,294276,6261.333194,3163.730169,417016.352472,0,294276,2101.46875,-1,VIDEO-STREAMING
13475552,0,0,295028,9786.16703,5141.863066,253863.934183,0,294628,3373.585725,-1,VIDEO-STREAMING
14952361,176,28,72615,34935.422897,27994.011215,24302.260644,12,72128,15536.095436,-1,VOIP
14978350,11,67,126881,28207.815443,34591.926097,26236.966288,0,126183,15521.82487,-1,VOIP
14975119,13,333,97710,21703.071014,26503.488496,28735.326318,9,97080,11923.061306,-1,VOIP
14981737,171,13,72801,34361.78211,26563.308511,25054.407118,12,69471,14966.988012,-1,VOIP
14980569,25,272,115223,23778.680952,28406.60076,26070.638572,17,104266,12947.769231,-1,VOIP
9827805,69,117,8853732,982780.5,978822.6,851.258241,18,8853680,467990.714286,9443972,BROWSING
5467772,71,85,2074727,303765.111111,341721.9375,2604.351462,18,2074727,156222.057143,3002930,BROWSING
14933383,0,0,1324318,2063.476993,4293.540541,642042.194994,0,1324275,1393.559444,2802111,VIDEO-STREAMING
5075494,1276,1479,4758852,1268873.5,1259596,715.004293,40,4721814,563943.777778,5038619,VIDEO-STREAMING
14997568,166,154,73094,34636.415704,27438.265568,23941.391209,14,72873,15303.826531,-1,VOIP
14943092,0,0,203369,1497.754034,2088.516422,912918.90331,0,203335,872.196054,-1,FILE-TRANSFER
14989325,7,42,86023,18620.279503,22884.79084,39501.462797,5,48421,10259.941136,-1,VOIP
4866060,408,272,4554003,973212,973213.8,985.340112,46,4553884,442394.545455,4866060,VIDEO-STREAMING
14995276,155,344,101118,21859.002915,26398.429577,28263.461362,62,100862,11948.584861,-1,VOIP
14985203,281,17,74775,46682.875389,36999.261728,17844.608104,10,74467,20612.763411,-1,VOIP
14883806,30,5,1014922,26578.225,18151.303659,64650.063098,3,1014657,10777.747285,13424357,BROWSING
