@RELATION <ISCXFlowMeter-generated-flows>,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,
@ATTRIBUTE min_biat NUMERIC,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,
@ATTRIBUTE max_biat NUMERIC,,,,
@ATTRIBUTE class1 {TOR,NONTOR},,,
@DATA,,,,
5223639,5224747,2398528.8,2398476.2,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
8235216,8013859,3336133.5,3280854.25,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
2413234,2412833,2413234,2412833,NONTOR
10878343,11101041,3713397.33333333,3757803,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
5603071,5603222,1556105.375,1395047.88888889,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,1066808,0,1066808,NONTOR
11424275,11414111,2766617.4,2764703,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
5710262,5930926,2921756.5,3033151.5,NONTOR
-1,44716,0,44716,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
2259214,2260166,2259214,2260166,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
14423907,14373496,4927354.66666667,4853568.33333333,NONTOR
8278177,8499459,4632929,4706884.33333333,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
6119537,6136567,3349686.5,2635297.8,NONTOR
5911281,6133401,2082183.33333333,2067124.66666667,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
7484463,7711763,3422002.66666667,3497523,NONTOR
3918857,3921002,1397956,1364133,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
4238545,4238796,2129335.8,2131022.2,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
8048789,8058441,1616151.375,1616360.75,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
6154957,6104009,2657804,2657772,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
4537258,4536234,1183684.90909091,1203932.45454545,NONTOR
-1,-1,0,0,NONTOR
171794,140275,131519,90631.5,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
2851227,2897302,233294.360655738,206449.205882353,NONTOR
2399151,2208529,157228.095744681,180265.353658537,NONTOR
2894590,3082953,226092.421875,200850.486111111,NONTOR
3582054,3543856,240935.966666667,304094.291666667,NONTOR
5157119,5160313,264419.224489796,249940.846153846,NONTOR
4306765,4269663,276091.075471698,326290.866666667,NONTOR
5132312,5125969,298763.384615385,279694.609756098,NONTOR
5049123,4860293,294320.03125,349429.185185185,NONTOR
9430046,9430188,4820320,4735588.5,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
12263285,12490876,6194101,6310318,NONTOR
-1,-1,0,0,NONTOR
3695568,3524358,2019572,1980202.33333333,NONTOR
-1,-1,0,0,NONTOR
8625036,8620061,2243758.6,2244446.2,NONTOR
10251504,10026843,2048430.16666667,2010757.66666667,NONTOR
-1,-1,0,0,NONTOR
5767856,5631692,1408853.5,1371267.33333333,NONTOR
-1,-1,0,0,NONTOR
5247595,5477836,2694084,2807098.5,NONTOR
-1,-1,0,0,NONTOR
10090773,9965855,3454922.33333333,3378424.66666667,NONTOR
8282896,8231836,4165141.5,2845044,NONTOR
-1,-1,0,0,NONTOR
10634620,10412309,2683985,2636712,NONTOR
9315360,9179769,1997060.66666667,1959947.66666667,NONTOR
-1,-1,0,0,NONTOR
11333225,11428172,3707141.75,3707059.25,NONTOR
5135434,5226355,1998517.5,1998557.16666667,NONTOR
-1,-1,0,0,NONTOR
7757273,7976783,2599803.8,2624444.4,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
2421839,2415114,2421839,2415114,NONTOR
11372553,11148461,5749539,5637156.5,NONTOR
-1,-1,0,0,NONTOR
5623188,5637452,1597246.875,1569450.25,NONTOR
-1,-1,0,0,NONTOR
11379162,11381215,2303995.5,2304052.33333333,NONTOR
-1,-1,0,0,NONTOR
6055010,5933258,2106253.66666667,2034230.66666667,NONTOR
-1,-1,0,0,NONTOR
200584,30683,200584,30683,NONTOR
2251882,2261782,2251882,2261782,NONTOR
-1,-1,0,0,NONTOR
14177573,14347106,4809716.66666667,3639662.25,NONTOR
8630561,8502792,3585390.25,3530259.75,NONTOR
-1,-1,0,0,NONTOR
6140615,6148854,2589647.2,2634434.4,NONTOR
6309653,6171497,2067033.83333333,2067145.33333333,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
7853466,7721098,2682664.75,2627390.75,NONTOR
11137228,11360060,5631177.5,5745096,NONTOR
-1,-1,0,0,NONTOR
6722821,6723623,1524430.33333333,1524397.66666667,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
8026385,8026761,1451184.14285714,1435126.42857143,NONTOR
-1,-1,0,0,NONTOR
5899829,6069488,2657558.2,2214581.33333333,NONTOR
-1,-1,0,0,NONTOR
4498201,4498937,900298.733333333,885496,NONTOR
140611,143528,140611,143528,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
4334113,4334821,758401.789473684,847594,NONTOR
3016624,3067722,320541.3125,461578.727272727,NONTOR
4076219,4076843,1156612.33333333,1156556.41666667,NONTOR
3437889,3438148,1500299.625,1500517.25,NONTOR
6936363,6986928,437710.625,701563.65,NONTOR
36505,-1,36505,0,NONTOR
2379560,2429654,246232.636363636,341619.75,NONTOR
12770892,12772008,2453284.33333333,2457513,NONTOR
5026686,5027225,3749723,3332339,NONTOR
9780134,9754709,852527.117647059,1116736.23076923,NONTOR
633,-1,633,0,NONTOR
5013175,5012365,955850.307692308,1090143.53846154,NONTOR
5175628,5225733,372857.84,623065.2,NONTOR
3722020,3721982,2743104.2,2743291.4,NONTOR
13412,-1,13412,0,NONTOR
151072,124840,30292.6,44242.5,NONTOR
3578692,3570912,1945862.28571429,1945877,NONTOR
75236,106646,44381.3333333333,34725.4,NONTOR
148831,97318,37293,43540.75,NONTOR
2956848,2956115,1590491.44444444,1590487.22222222,NONTOR
5046034,5097533,374705.147058824,488989.153846154,NONTOR
577,-1,577,0,NONTOR
5011339,5010834,1510197.11111111,1700563,NONTOR
4853508,4879700,430110.304347826,493314.7,NONTOR
4562370,4562924,2890844,2890855.4,NONTOR
4649722,4700373,415424.944444444,574195.769230769,NONTOR
35409,-1,35409,0,NONTOR
1022,-1,1022,0,NONTOR
8863447,8913306,486261.166666667,695837.285714286,NONTOR
2822526,2823001,726181.846153846,786755.833333333,NONTOR
2714049,2714537,1820334.75,1832048.125,NONTOR
7961403,8011632,788540.555555556,1178665.33333333,NONTOR
3254110,3253591,2490479.5,2490358.33333333,NONTOR
9067535,9043838,745032.85,931252.875,NONTOR
75999,97330,41226.3333333333,32584.8,NONTOR
4611793,4612316,1360634.90909091,1496723,NONTOR
5529909,5580195,588539.473684211,743927.333333333,NONTOR
4656864,4631595,301219.783783784,443778.92,NONTOR
5000367,4999517,3443282.66666667,3443403.33333333,NONTOR
3817713,3844865,414406.548387097,473914.444444444,NONTOR
4528420,4529915,1202500.1,1202632.8,NONTOR
2899873,2899298,1070916,1160172.41666667,NONTOR
4872034,4898194,431487.911764706,584725.04,NONTOR
4116091,4166707,294175.46,409267.194444444,NONTOR
6626440,6649898,1013288.28571429,1182098.75,NONTOR
12330324,12306202,1665388.33333333,1734492.625,NONTOR
9741151,9791735,511482.666666667,813790.705882353,NONTOR
4497035,4496771,1320600.5,1647275,NONTOR
10063380,10114365,562784.8,660556.529411765,NONTOR
74655,95423,40632,32315.6,NONTOR
4999500,4999378,1061437.61538462,1061456.30769231,NONTOR
3454611,3505031,396671.742857143,553307.24,NONTOR
31806,64954,23011.4,25512,NONTOR
65893,91405,34043.4,35016.8333333333,NONTOR
-1,52,0,52,NONTOR
628,-1,628,0,NONTOR
4033449,4033134,716551.65,754284.105263158,NONTOR
3365947,3416505,195292.026315789,309735.145833333,NONTOR
3083738,3083565,1071184.07692308,1071197.15384615,NONTOR
4146382,4172770,673982.818181818,822495.944444445,NONTOR
3105697,3104787,908909.3125,1038725.42857143,NONTOR
4795101,4845768,340767.186046512,486740.333333333,NONTOR
2378211,2378511,1701706.28571429,1701592.42857143,NONTOR
4748159,4798204,349123.023809524,458986.28125,NONTOR
3437346,3487355,312157.208333333,510977.448275862,NONTOR
4997209,4997057,767388.157894737,911281.875,NONTOR
5563815,5591430,539622.576923077,642667.227272727,NONTOR
3168051,3193074,1173666.66666667,1320415.375,NONTOR
41658,73780,16798,18041.4,NONTOR
3400053,3451854,371382.210526316,503078.214285714,NONTOR
5012832,5014060,1753145.25,2003749.28571429,NONTOR
74846,106255,52286.6666666667,39325.2,NONTOR
4847128,4845871,767851.230769231,831843.75,NONTOR
2574040,2600407,224068.255319149,349373.6,NONTOR
2735820,2787565,282432.411764706,370007.564102564,NONTOR
4176458,4176415,854699,908067.125,NONTOR
4908526,4934644,439385.470588235,533945,NONTOR
5048826,5048922,1658887.11111111,1866389.875,NONTOR
28024,65202,21169.8,24238.3333333333,NONTOR
-1,126,0,126,NONTOR
681,-1,681,0,NONTOR
6686984,6713217,784302.4,1002047.45454545,NONTOR
5707506,5683588,1631665.42857143,1631710.14285714,NONTOR
6977117,7027071,580048.473684211,920516.25,NONTOR
4922333,4922126,990483.923076923,990511.307692308,NONTOR
4369266,4419562,325898.340909091,420975.823529412,NONTOR
4994743,4994808,1882131.14285714,1881970.14285714,NONTOR
3884606,3935672,289036.588235294,398420.405405405,NONTOR
77722,119732,49323,37771,NONTOR
2989686,2963772,527430.421052632,528717.947368421,NONTOR
8223078,8273550,332603.477272727,522686.857142857,NONTOR
7414237,7439085,992999.533333333,1145790.46153846,NONTOR
4783717,4833925,416361.217391304,560347.470588235,NONTOR
2711201,2710480,599762.44,651909.304347826,NONTOR
37809,-1,37809,0,NONTOR
31386,-1,31386,0,NONTOR
41258,66470,13955.6666666667,16505.4,NONTOR
2324590,2351145,185560,259036.771428571,NONTOR
2387,47956,1255,24017.5,NONTOR
30081,-1,30081,0,NONTOR
75672,107954,44866,35328.2,NONTOR
29247,-1,29247,0,NONTOR
2453838,2428653,8757.2258064516,4299.731825525,NONTOR
28948,-1,28948,0,NONTOR
29679,-1,29679,0,NONTOR
29644,-1,29644,0,NONTOR
1147378,954915,104319.266666667,145134.71875,NONTOR
2060758,2098352,259291.08,242110.653846154,NONTOR
6582939,6442842,529064.769230769,877271.625,NONTOR
188293,77181,53744.75,15504.4,NONTOR
11857267,11666231,1745362.85714286,3053343,NONTOR
190041,148915,190041,148915,NONTOR
4793438,4758277,241813.47826087,370911.066666667,NONTOR
2389919,2527565,250466.095238095,211864.04,NONTOR
3181275,3180409,2433106.33333333,2432752,NONTOR
34809,34337,21169,17235.5,NONTOR
3448821,3447147,2682222.2,2682255.4,NONTOR
6575292,6549861,372470.947368421,545319.384615385,NONTOR
3871023,3871168,1109914,1110021,NONTOR
4510617,4562952,426797.657142857,554152.888888889,NONTOR
5017025,5017796,4979958,4979965.66666667,NONTOR
3704728,3756337,382500.769230769,516157.620689655,NONTOR
5027764,5030386,5004212.5,5004842.5,NONTOR
3866279,3917668,410622.085714286,555628.115384615,NONTOR
5010992,5010527,4345128.66666667,4344702.33333333,NONTOR
3520473,3572214,322130.243243243,442341.740740741,NONTOR
6609001,6635318,514652.965517241,649996.826086957,NONTOR
5103658,5103311,4983175.33333333,4982983.66666667,NONTOR
4898244,4949151,384317.333333333,504585.652173913,NONTOR
5005619,5005749,2828943,3536099.25,NONTOR
4776085,4826243,389134.84375,499093.44,NONTOR
5000193,5001966,4999061.5,4999375.5,NONTOR
3541292,3593379,382423.769230769,481891.225806452,NONTOR
5006578,4998498,1694426.66666667,1694445.83333333,NONTOR
5000901,5001726,5000901,5001726,NONTOR
4893094,4944218,442039.161290323,652585.761904762,NONTOR
4468193,4519854,492750.666666667,619687.105263158,NONTOR
7370944,7462028,6192727,6237850.5,NONTOR
4106834,4157496,436298.764705882,594371.6,NONTOR
5020385,5022058,5010544.5,5010864,NONTOR
3244282,3297380,524101.4,623950.047619048,NONTOR
5017465,5017896,5000190,4999671,NONTOR
4786110,4812353,352449.078947368,476466.285714286,NONTOR
5006230,5008393,4430465.33333333,4430407.66666667,NONTOR
30076,-1,30076,0,NONTOR
2975716,2950479,353242.791666667,443441.315789474,NONTOR
65174,27432,23635.75,21564,NONTOR
29516,-1,29516,0,NONTOR
210800,212042,73264.5,63771.6,NONTOR
4704859,4752365,849929.285714286,1473676,NONTOR
29105,-1,29105,0,NONTOR
7633229,7769106,354806.047619048,207970.098591549,NONTOR
3551963,3540588,569829.846153846,400428.783783784,NONTOR
4992081,5187968,954089.181818182,559267.555555556,NONTOR
3280777,3466185,413268.352941176,311373.333333333,NONTOR
10446055,10435844,1646806,1246802.25,NONTOR
416855,96265,216317.666666667,32089,NONTOR
6630985,6766805,364543.268292683,219796.308823529,NONTOR
2553352,2735483,470630.714285714,256933.615384615,NONTOR
5420655,5434155,564963.653846154,371881.794871795,NONTOR
193062,143446,115738.666666667,100192,NONTOR
4213160,4400841,474596.72,329341.472222222,NONTOR
13482318,13521779,1141294.38461538,741824,NONTOR
3907977,4095582,604867.95,356255.107142857,NONTOR
4499885,4535797,413107.138888889,261014.771929825,NONTOR
6909974,7045678,577495.095238095,433372.5,NONTOR
5171188,5216230,373422.529411765,288724.522727273,NONTOR
5067789,5077923,719189.05,513991.464285714,NONTOR
4191387,4381039,654038.882352941,426101.615384615,NONTOR
4972607,5108404,555472.962962963,362474.634146341,NONTOR
7152146,7190427,822441,598071.2,NONTOR
8697743,8698926,1494219.5,1010813.09090909,NONTOR
7549229,7732271,534244.230769231,407517.088235294,NONTOR
4719271,4757675,708249.523809524,489614.533333333,NONTOR
6117154,6111017,927323.75,478613.64516129,NONTOR
7837601,7831965,728548.368421053,621226.047619048,NONTOR
5982628,6026689,1356480.14285714,1350406.71428571,NONTOR
6126961,6262813,830069.944444445,551830.777777778,NONTOR
14590837,176386,2498647.83333333,67174.4285714286,NONTOR
4555018,4547644,286254.425,211190.888888889,NONTOR
2263138,2306555,487684.733333333,364078.9,NONTOR
5215785,5353494,670888.818181818,477358.225806452,NONTOR
5168158,5208089,749474.15,516757.344827586,NONTOR
4644389,4665144,298013.083333333,188147.947368421,NONTOR
-1,-1,0,0,NONTOR
4850145,5076547,2801194,2801640.5,NONTOR
5138145,5086849,2673354,2563738.5,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
11071060,11288580,5570495,5678458.5,NONTOR
11297780,11289080,2935399,3841473.66666667,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
9293270,9076235,4918635.66666667,4846294.66666667,NONTOR
5294719,5295309,1851919.5,1828798.5,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
5299678,5248259,3223058,2578591.4,NONTOR
5081203,5247408,2578271.4,2578571.2,NONTOR
13989033,13988803,7058719.5,7058694.5,NONTOR
13953549,13953537,4736973.33333333,4706599,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
7302647,7303027,2926311,2980785.5,NONTOR
7212964,7303799,2436693.2,2393106.8,NONTOR
3641300,3858271,1885271.5,1993890,NONTOR
3987785,3858690,1415138.66666667,1342191.33333333,NONTOR
4092208,4092536,4092208,4092536,NONTOR
4093898,4093596,4093898,4093596,NONTOR
-1,-1,0,0,NONTOR
3765331,3765294,3765331,3765294,NONTOR
3765289,3764707,3765289,3764707,NONTOR
8998649,8998118,7441247,8998118,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
5884291,5884091,5884291,5884091,NONTOR
-1,1992997,0,1992997,NONTOR
-1,-1,0,0,NONTOR
142804,105,142804,105,NONTOR
-1,-1,0,0,NONTOR
208853,42450,208853,42450,NONTOR
-1,36709,0,36709,NONTOR
-1,-1,0,0,NONTOR
3534907,3350584,284203.05,368176.35483871,NONTOR
4131545,3996661,226552.236363636,289702,NONTOR
5548016,5498623,609584.3,697741.222222222,NONTOR
3350555,3356389,374348.461538462,589383.24,NONTOR
11862132,11867677,1068665.5,1482123.2,NONTOR
-1,-1,0,0,NONTOR
2528434,2343107,158655.743902439,219918.733333333,NONTOR
4188044,4002311,525913.333333333,675589.428571429,NONTOR
5325150,5149079,438699.176470588,619820.958333333,NONTOR
138301,184729,50404.3333333333,94144.5,NONTOR
6461158,6419812,409992.433333333,520199.416666667,NONTOR
9345411,9210919,813017.941176471,1064232.69230769,NONTOR
5194324,5009574,342251.575757576,423289.592592593,NONTOR
4574220,4523467,198608.918032787,261520.85106383,NONTOR
2188743,9707770,271027.315789474,993334.733333333,NONTOR
5368536,5323681,167879.529411765,225210.789473684,NONTOR
5032349,4982002,360661.725,456753.71875,NONTOR
5925598,5885454,434562.692307692,574503.35,NONTOR
5869374,5685594,599663.08,928952.8125,NONTOR
6966411,6782520,448613.848484849,550220.62962963,NONTOR
8694340,8508983,379178.82051282,516356.724137931,NONTOR
7959492,7914351,629853.727272727,868553.875,NONTOR
4804439,4762617,406325.535714286,525445.181818182,NONTOR
8395256,8260594,855988.875,1261853.90909091,NONTOR
8796203,8610751,680221.238095238,803850.666666667,NONTOR
6177516,6132740,495576.633333333,645171.565217391,NONTOR
6386243,6202301,401209.833333333,535461.888888889,NONTOR
2489625,2443885,585350.8,592945.4,NONTOR
75234,134751,18843.75,86794.6666666667,NONTOR
4745671,4694558,186007.507936508,272429.813953488,NONTOR
2481151,2435511,258140.068965517,319646.041666667,NONTOR
3373981,3192650,188969.3,286829,NONTOR
5089943,5077372,593221.32,871955.176470588,NONTOR
1570639,1404375,121875.3375,165570.816666667,NONTOR
14818371,14846422,1874027,3734540.25,NONTOR
3984742,3985409,1161557.16666667,1161524.75,NONTOR
3436940,3488206,370585.387096774,458565.32,NONTOR
5004632,5006451,4982268,4982440.33333333,NONTOR
4655295,4630857,371796.333333333,509099.875,NONTOR
5025294,5025083,2522214,3355448,NONTOR
3508167,3482982,240417.035714286,318090.476190476,NONTOR
2953425,2951549,1221564.5,1127585.15384615,NONTOR
49511,29473,20842.4,26631.6666666667,NONTOR
10733358,10708460,287707.367346939,438923.5625,NONTOR
5011305,5009589,1251430,1251326.7,NONTOR
3827189,3853471,401876.085714286,500520.107142857,NONTOR
5017614,5020704,4998043.5,4998128.5,NONTOR
3989959,4040278,445439.6875,546233.576923077,NONTOR
5356181,5356140,5178505.5,5178908,NONTOR
4365048,4416051,415513.971428571,539544.111111111,NONTOR
29541,-1,29541,0,NONTOR
1574733,1625161,243949.285714286,413889.5,NONTOR
5011052,5013676,1457373.375,1295520.66666667,NONTOR
4893161,4943355,306657.954545455,436042.580645161,NONTOR
71721,29071,34063,22148.5,NONTOR
73464,-1,73464,0,NONTOR
2748960,2799589,273085.586956522,357475,NONTOR
3468261,3443013,578589.45,644226.277777778,NONTOR
3990176,4016246,404318.378378378,552195.666666667,NONTOR
4075043,4074743,1083191.83333333,1083186.25,NONTOR
3905947,3956434,363054.358974359,564344.64,NONTOR
4412351,4412530,1750699.16666667,1750843.33333333,NONTOR
12481786,12480574,2102680.85714286,2106128.57142857,NONTOR
4836640,4886754,570543.3125,703973.230769231,NONTOR
4053708,4053214,2303689,2303689.2,NONTOR
3199978,3174952,485777,558201.833333333,NONTOR
2835097,2809946,558497,670218.4,NONTOR
4894922,4945469,279120.040816327,401476.5,NONTOR
5002435,5003146,4996326.33333333,4999871,NONTOR
3561289,3612855,412415.392857143,523708.454545455,NONTOR
5006603,5004565,5005623,5002239,NONTOR
3441775,3491883,478024.076923077,590596.952380952,NONTOR
2672866,2699220,315638.133333333,392403.041666667,NONTOR
5005557,5005707,1477483.5,1980852.28571429,NONTOR
7770082,7745704,55418.8560606061,30247.7738589212,NONTOR
4943639,4943631,1149590.08333333,1255241.27272727,NONTOR
4860318,4911072,477979.384615385,592939.095238095,NONTOR
4756966,4758137,1281534.90909091,1281457.63636364,NONTOR
3197268,3248444,389976.64516129,547210.045454545,NONTOR
3634068,3632845,800195,800159.666666667,NONTOR
4546079,4521854,351579.707317073,478749.566666667,NONTOR
4997927,4998375,3842507,3873743.33333333,NONTOR
2971719,3021975,433816.696969697,623554.565217391,NONTOR
5008375,5007755,5006128.5,5006960.5,NONTOR
3963802,4014476,517444.692307692,641827.142857143,NONTOR
9060843,9060655,1212716.27272727,1336043.6,NONTOR
4999327,5024014,2173516.4,2719996.25,NONTOR
4931076,4981758,639320.714285714,955284.357142857,NONTOR
3996125,3996060,1112379.5,1112401.5,NONTOR
8188053,8163501,402108.730769231,495355.523809524,NONTOR
2340563,2341863,820955.882352941,872342.1875,NONTOR
4437111,4463311,299710.08,383566.58974359,NONTOR
3262955,3237998,848413.529411765,848354.823529412,NONTOR
2987468,3038343,524863,711036.272727273,NONTOR
1504665,1505074,544532.333333333,544517,NONTOR
9459268,9510270,354230.926829268,556455.538461539,NONTOR
5005101,5005443,2804098,2804255.5,NONTOR
4381978,4434180,380370.974358974,527919.607142857,NONTOR
9419718,9419931,1341894.75,1537137.57142857,NONTOR
14402911,14452955,1452791.2,2078964,NONTOR
3563722,3562084,756925.473684211,798994.722222222,NONTOR
5360509,5410654,354681.048780488,499700.551724138,NONTOR
3926093,3926161,645717.095238095,677991.65,NONTOR
4665034,4716189,258672.267857143,360882.45,NONTOR
3022377,3023112,1045616.42857143,1045705.07142857,NONTOR
3606402,3656842,263914.396226415,331841.761904762,NONTOR
3106578,3106508,968408.733333333,968397.266666667,NONTOR
4415595,4467860,425100.066666667,604881.761904762,NONTOR
2987123,2987427,1260987.1,1263417.2,NONTOR
4884129,4934684,348710.210526316,550027.708333333,NONTOR
4216846,4216927,787152.6875,787202.375,NONTOR
4299562,4351512,282322.585365854,371642.032258065,NONTOR
3389202,3388527,927689,989529.533333333,NONTOR
10184250,10245520,729922.833333333,1006754.23076923,NONTOR
4540105,4538948,2111392.2,2111330.6,NONTOR
6228867,6280768,417084.142857143,538821.037037037,NONTOR
2544882,2545501,639904.6875,639947.9375,NONTOR
7654646,7709561,337512.571428571,525942.666666667,NONTOR
3789270,3789065,958372.2,1026869.64285714,NONTOR
9344013,9394452,547625.3,686147,NONTOR
5051457,5051680,1362205.18181818,1496032.9,NONTOR
7702146,7679028,407669.75,516489.363636364,NONTOR
5705405,5705554,2775698.25,2775792.5,NONTOR
4879874,4930199,278975.894736842,405810.038461538,NONTOR
5011370,5011912,3748751.75,3338657.33333333,NONTOR
4862394,4862719,1096739.25,926417.636363636,NONTOR
1517907,1569147,153934.35,189181.6875,NONTOR
4217181,4192499,781280,749372.473684211,NONTOR
7191469,7242372,384540.205128205,568123.615384615,NONTOR
9020907,9076019,498931.5,668629.095238095,NONTOR
9702736,9701877,860147,974836,NONTOR
7122737,7147681,904291.4,968853.285714286,NONTOR
6842155,6894220,319132.813953488,491003.214285714,NONTOR
2774384,2775903,499805.3,517040.379310345,NONTOR
2752866,2804196,238701.188679245,342588.162162162,NONTOR
28637,28447,683.0681818182,300.3376623377,NONTOR
1718267,1719283,861242,597041.333333333,NONTOR
68045,18180,34077.5,18180,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
3890443,4111643,1970603.5,2082357,NONTOR
9709954,9709858,2853475,2808351.2,NONTOR
2512366,2512317,1560094.25,1616454.75,NONTOR
2512171,2511377,1338127,1617069.5,NONTOR
-1,-1,0,0,NONTOR
2919060,3142328,1527848,1639884.5,NONTOR
-1,-1,0,0,NONTOR
3276986,3144572,1181521.33333333,1106416,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
3025018,3250246,1577681.5,1690395.5,NONTOR
3373722,3253410,1216215.33333333,1141808.33333333,NONTOR
-1,42080,0,42080,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
218864,43549,218864,43549,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
5478826,5476020,1633096.44444444,1632692.77777778,NONTOR
5322319,5321946,1653409.16666667,1983957.6,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
1075441,1075482,1075441,1075482,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
